  hr_recruitment_pipeline  ·  80 lignes  ·  14 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
JOB0054,HR Consultant,DEP005,Junior,Kubernetes,Hired,Company Website,2023-02-19,2023-05-15,2023-05-09,119272.13,11,EMP0100,High
JOB0055,HR Consultant,DEP003,Senior,React,Cancelled,Indeed,2024-11-18,2025-02-14,,87231.32,40,EMP0059,Medium
JOB0056,Frontend Developer,DEP006,Lead,Python,Hired,Company Website,2023-10-25,2024-02-15,2023-12-15,56875.65,4,EMP0066,High
JOB0057,DevOps Engineer,DEP006,Lead,Python,Screening,LinkedIn,2023-12-29,2024-02-22,,109231.62,6,EMP0147,Low
JOB0058,Data Engineer,DEP004,Lead,Python,Open,Agency,2024-10-09,2024-12-10,,92911.63,28,EMP0035,Medium
JOB0059,Data Scientist,DEP008,Lead,Python,Screening,Indeed,2023-05-08,2023-09-02,,56194.18,6,EMP0060,Medium
JOB0060,Financial Analyst,DEP010,Senior,SQL,Screening,Indeed,2024-11-21,2025-03-12,,84093.98,39,EMP0092,High
JOB0061,Business Analyst,DEP007,Senior,Kubernetes,Open,Job Fair,2024-05-26,2024-09-08,,67317.89,22,EMP0091,Medium
JOB0062,Sales Manager,DEP008,Lead,SAP,Offer,Job Fair,2023-04-29,2023-06-20,,54281.54,21,EMP0037,Medium
JOB0063,Data Scientist,DEP009,Senior,Python,Screening,Indeed,2023-05-29,2023-09-23,,63128.57,16,EMP0101,Low
JOB0064,DevOps Engineer,DEP008,Senior,Python,Interview,Job Fair,2024-04-17,2024-07-08,,68525.7,5,EMP0072,Medium
JOB0065,HR Consultant,DEP006,Mid,Kubernetes,Technical Test,Indeed,2023-04-12,2023-05-22,,87894.48,10,EMP0005,Medium
JOB0066,DevOps Engineer,DEP003,Junior,Machine Learning,Interview,Job Fair,2024-09-09,2024-10-29,,69816.06,24,EMP0092,High
JOB0067,Frontend Developer,DEP003,Lead,SQL,Interview,Indeed,2024-03-06,2024-06-06,,62533.63,16,EMP0082,Medium
JOB0068,Business Analyst,DEP004,Mid,Machine Learning,Hired,Company Website,2024-04-12,2024-06-05,2024-06-09,96672.45,40,EMP0048,High
JOB0069,Sales Manager,DEP002,Junior,Machine Learning,Open,Agency,2023-05-22,2023-08-08,,109310.18,7,EMP0066,High
JOB0070,Scrum Master,DEP005,Lead,React,Cancelled,Indeed,2024-06-18,2024-09-05,,119339.84,7,EMP0093,Low
JOB0071,Cloud Architect,DEP004,Mid,Python,Open,Company Website,2023-01-27,2023-04-12,,93262.56,15,EMP0017,Medium
JOB0072,Business Analyst,DEP001,Junior,Machine Learning,Technical Test,Company Website,2024-08-04,2024-10-19,,62815.36,17,EMP0120,Medium
JOB0073,Business Analyst,DEP002,Mid,SQL,Cancelled,LinkedIn,2024-09-18,2024-12-17,,108076.53,36,EMP0088,High
JOB0074,DevOps Engineer,DEP008,Junior,AWS,Technical Test,Agency,2024-01-18,2024-05-04,,91249.41,4,EMP0001,Medium
JOB0075,Cloud Architect,DEP003,Lead,Java,Screening,Indeed,2024-07-28,2024-11-18,,125220.22,10,EMP0134,Medium
JOB0076,Project Manager,DEP006,Senior,Kubernetes,Screening,LinkedIn,2024-09-02,2024-12-23,,56169.42,16,EMP0020,Low
JOB0077,Data Engineer,DEP010,Junior,Machine Learning,Interview,Referral,2024-04-20,2024-07-03,,82865.78,4,EMP0051,High
JOB0078,Senior Developer,DEP009,Junior,SQL,Interview,LinkedIn,2023-02-28,2023-05-24,,84512.84,3,EMP0044,Low
JOB0079,Financial Analyst,DEP005,Junior,Machine Learning,Open,Company Website,2023-08-15,2023-09-17,,98148.24,30,EMP0127,Medium
JOB0080,Frontend Developer,DEP008,Senior,Python,Screening,Company Website,2024-11-30,2025-03-09,,73796.26,9,EMP0078,Medium
