"  crm_activities  ·  1,200 lignes  ·  8 colonnes",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
ACT0062,Call,2024-10-26,CON0780,OPP0246,120,Security questionnaire submitted and reviewed.,EMP0005
ACT0063,Email,2024-12-23,CON0484,OPP0083,60,Security questionnaire submitted and reviewed.,EMP0009
ACT0064,Call,2022-08-20,CON0647,OPP0385,30,Integration requirements clarified.,EMP0096
ACT0065,Email,2022-04-08,CON0237,OPP0139,45,Decision maker out of office; rescheduled.,EMP0065
ACT0066,Meeting,2022-03-30,CON0403,OPP0248,45,Renewal discussion started for next fiscal year.,EMP0088
ACT0067,Site Visit,2024-03-31,CON0384,OPP0085,45,Discussed roadmap and budget approval.,EMP0097
ACT0068,Meeting,2022-09-16,CON0120,OPP0166,45,POC results reviewed - client satisfied.,EMP0112
ACT0069,Proposal Review,2022-10-08,CON0323,OPP0478,60,Executive sponsor confirmed budget.,EMP0046
ACT0070,Meeting,2023-01-06,CON0128,OPP0312,15,Pricing negotiation in progress.,EMP0061
ACT0071,Demo,2023-08-27,CON0451,OPP0407,15,Decision maker out of office; rescheduled.,EMP0128
ACT0072,Follow-up,2024-09-10,CON0399,OPP0156,90,Decision maker out of office; rescheduled.,EMP0084
ACT0073,Webinar,2023-04-02,CON0616,OPP0224,45,Demo completed - positive reception from technical team.,EMP0025
ACT0074,Demo,2024-12-30,CON0231,OPP0161,15,Legal review of MSA initiated.,EMP0021
ACT0075,Meeting,2023-08-12,CON0342,OPP0374,45,Contract review scheduled for next month.,EMP0027
ACT0076,Meeting,2022-04-26,CON0004,OPP0380,30,Integration requirements clarified.,EMP0033
ACT0077,Meeting,2022-07-07,CON0070,OPP0476,120,Executive sponsor confirmed budget.,EMP0121
ACT0078,Demo,2022-10-21,CON0649,OPP0497,60,Legal review of MSA initiated.,EMP0041
ACT0079,Site Visit,2023-07-09,CON0549,OPP0329,90,New requirements gathered for phase 2.,EMP0064
ACT0080,Webinar,2023-10-20,CON0730,OPP0346,45,Stakeholder alignment meeting held.,EMP0084
ACT0081,Meeting,2023-01-06,CON0599,OPP0343,45,Demo completed - positive reception from technical team.,EMP0089
ACT0082,Meeting,2023-10-03,CON0104,OPP0208,15,Stakeholder alignment meeting held.,EMP0084
ACT0083,Proposal Review,2024-01-25,CON0630,OPP0044,60,Follow-up on proposal sent last week.,EMP0015
ACT0084,Webinar,2022-04-17,CON0542,OPP0437,120,Discussed roadmap and budget approval.,EMP0093
ACT0085,Follow-up,2022-07-09,CON0265,OPP0230,60,Decision maker out of office; rescheduled.,EMP0069
ACT0086,Proposal Review,2023-04-17,CON0784,OPP0188,120,Contract review scheduled for next month.,EMP0092
ACT0087,Meeting,2023-09-02,CON0449,OPP0448,90,New requirements gathered for phase 2.,EMP0076
ACT0088,Email,2024-08-02,CON0122,OPP0183,90,Decision maker out of office; rescheduled.,EMP0147
ACT0089,Proposal Review,2023-02-13,CON0267,OPP0149,90,Contract review scheduled for next month.,EMP0010
ACT0090,Webinar,2023-04-19,CON0501,OPP0262,90,Discussed roadmap and budget approval.,EMP0057
ACT0091,Demo,2022-09-13,CON0543,OPP0112,60,Follow-up on proposal sent last week.,EMP0018
ACT0092,Demo,2023-05-06,CON0660,OPP0267,90,Demo completed - positive reception from technical team.,EMP0110
ACT0093,Call,2024-11-16,CON0486,OPP0260,90,Security questionnaire submitted and reviewed.,EMP0045
ACT0094,Email,2023-12-24,CON0179,OPP0246,90,Legal review of MSA initiated.,EMP0051
ACT0095,Call,2023-08-08,CON0569,OPP0223,30,Pricing negotiation in progress.,EMP0017
ACT0096,Webinar,2023-01-07,CON0126,OPP0228,120,Decision maker out of office; rescheduled.,EMP0105
ACT0097,Webinar,2023-03-12,CON0336,OPP0374,30,Legal review of MSA initiated.,EMP0132
ACT0098,Call,2022-07-27,CON0525,OPP0290,15,Pricing negotiation in progress.,EMP0109
ACT0099,Proposal Review,2023-01-21,CON0300,OPP0143,60,Legal review of MSA initiated.,EMP0023
ACT0100,Proposal Review,2024-06-25,CON0761,OPP0194,30,POC results reviewed - client satisfied.,EMP0102
ACT0101,Email,2023-09-28,CON0230,OPP0108,60,Demo completed - positive reception from technical team.,EMP0148
ACT0102,Follow-up,2024-02-10,CON0645,OPP0407,60,Decision maker out of office; rescheduled.,EMP0088
ACT0103,Call,2022-03-01,CON0707,OPP0019,15,Discussed roadmap and budget approval.,EMP0137
ACT0104,Webinar,2024-09-09,CON0234,OPP0296,15,Stakeholder alignment meeting held.,EMP0060
ACT0105,Webinar,2022-12-02,CON0098,OPP0361,15,Stakeholder alignment meeting held.,EMP0105
ACT0106,Follow-up,2023-08-12,CON0175,OPP0334,45,Integration requirements clarified.,EMP0071
ACT0107,Follow-up,2024-07-26,CON0597,OPP0190,60,Demo completed - positive reception from technical team.,EMP0144
ACT0108,Webinar,2024-10-01,CON0337,OPP0326,120,POC results reviewed - client satisfied.,EMP0090
ACT0109,Meeting,2024-11-27,CON0760,OPP0057,90,Discussed roadmap and budget approval.,EMP0046
ACT0110,Meeting,2022-05-27,CON0452,OPP0382,90,Legal review of MSA initiated.,EMP0138
ACT0111,Email,2022-10-09,CON0307,OPP0271,90,Contract review scheduled for next month.,EMP0116
ACT0112,Email,2024-08-04,CON0015,OPP0475,45,Executive sponsor confirmed budget.,EMP0149
ACT0113,Follow-up,2023-06-22,CON0337,OPP0416,15,Executive sponsor confirmed budget.,EMP0069
ACT0114,Demo,2024-05-21,CON0509,OPP0390,30,Stakeholder alignment meeting held.,EMP0101
ACT0115,Email,2022-06-19,CON0187,OPP0372,30,Renewal discussion started for next fiscal year.,EMP0008
ACT0116,Demo,2024-12-17,CON0515,OPP0175,60,Competitive evaluation underway.,EMP0138
ACT0117,Email,2022-06-17,CON0592,OPP0126,90,Legal review of MSA initiated.,EMP0138
ACT0118,Email,2023-07-18,CON0345,OPP0296,15,Security questionnaire submitted and reviewed.,EMP0006
ACT0119,Meeting,2022-08-04,CON0456,OPP0240,90,Discussed roadmap and budget approval.,EMP0095
ACT0120,Webinar,2022-10-30,CON0574,OPP0442,60,Security questionnaire submitted and reviewed.,EMP0109
ACT0121,Demo,2023-03-29,CON0383,OPP0046,120,Competitive evaluation underway.,EMP0081
ACT0122,Call,2024-08-09,CON0767,OPP0007,120,Pricing negotiation in progress.,EMP0050
ACT0123,Meeting,2024-03-19,CON0021,OPP0383,120,Follow-up on proposal sent last week.,EMP0032
ACT0124,Demo,2022-06-13,CON0011,OPP0128,90,Demo completed - positive reception from technical team.,EMP0147
ACT0125,Proposal Review,2023-09-22,CON0138,OPP0331,45,Pricing negotiation in progress.,EMP0032
ACT0126,Demo,2024-05-23,CON0044,OPP0294,15,New requirements gathered for phase 2.,EMP0136
ACT0127,Webinar,2024-12-31,CON0104,OPP0439,90,New requirements gathered for phase 2.,EMP0032
ACT0128,Call,2023-08-04,CON0336,OPP0032,30,Decision maker out of office; rescheduled.,EMP0055
ACT0129,Proposal Review,2023-02-28,CON0411,OPP0036,45,Security questionnaire submitted and reviewed.,EMP0136
ACT0130,Proposal Review,2023-02-26,CON0389,OPP0388,60,Demo completed - positive reception from technical team.,EMP0113
ACT0131,Email,2023-03-21,CON0707,OPP0179,90,New requirements gathered for phase 2.,EMP0103
ACT0132,Demo,2023-03-05,CON0362,OPP0124,90,Discussed roadmap and budget approval.,EMP0002
ACT0133,Webinar,2023-10-21,CON0770,OPP0431,60,Follow-up on proposal sent last week.,EMP0094
ACT0134,Follow-up,2024-07-11,CON0682,OPP0127,15,Renewal discussion started for next fiscal year.,EMP0086
ACT0135,Site Visit,2024-02-09,CON0246,OPP0300,60,POC results reviewed - client satisfied.,EMP0048
ACT0136,Webinar,2023-12-12,CON0119,OPP0052,60,Decision maker out of office; rescheduled.,EMP0064
ACT0137,Site Visit,2022-03-29,CON0676,OPP0069,90,Security questionnaire submitted and reviewed.,EMP0062
ACT0138,Proposal Review,2024-09-22,CON0187,OPP0234,15,Competitive evaluation underway.,EMP0041
ACT0139,Site Visit,2024-02-14,CON0420,OPP0003,45,Security questionnaire submitted and reviewed.,EMP0064
ACT0140,Follow-up,2022-12-29,CON0534,OPP0043,60,Executive sponsor confirmed budget.,EMP0066
ACT0141,Follow-up,2022-05-21,CON0722,OPP0350,60,Follow-up on proposal sent last week.,EMP0009
ACT0142,Email,2024-08-03,CON0332,OPP0325,30,Pricing negotiation in progress.,EMP0138
ACT0143,Follow-up,2024-04-18,CON0272,OPP0022,45,Follow-up on proposal sent last week.,EMP0010
ACT0144,Demo,2022-01-03,CON0139,OPP0252,30,Discussed roadmap and budget approval.,EMP0068
ACT0145,Meeting,2024-09-23,CON0430,OPP0107,60,Demo completed - positive reception from technical team.,EMP0131
ACT0146,Email,2023-06-24,CON0649,OPP0133,120,Decision maker out of office; rescheduled.,EMP0117
ACT0147,Email,2024-12-19,CON0774,OPP0297,30,POC results reviewed - client satisfied.,EMP0082
ACT0148,Demo,2022-02-14,CON0590,OPP0211,90,Executive sponsor confirmed budget.,EMP0012
ACT0149,Site Visit,2024-10-11,CON0412,OPP0134,120,Executive sponsor confirmed budget.,EMP0001
ACT0150,Meeting,2022-12-21,CON0518,OPP0275,45,POC results reviewed - client satisfied.,EMP0131
ACT0151,Proposal Review,2023-07-07,CON0328,OPP0387,45,Follow-up on proposal sent last week.,EMP0061
ACT0152,Webinar,2024-07-18,CON0140,OPP0434,60,Follow-up on proposal sent last week.,EMP0117
ACT0153,Follow-up,2023-02-07,CON0022,OPP0329,60,Executive sponsor confirmed budget.,EMP0142
ACT0154,Email,2022-08-05,CON0776,OPP0197,45,Executive sponsor confirmed budget.,EMP0009
ACT0155,Demo,2023-09-17,CON0214,OPP0303,90,Executive sponsor confirmed budget.,EMP0134
ACT0156,Email,2024-11-04,CON0506,OPP0106,90,Legal review of MSA initiated.,EMP0114
ACT0157,Webinar,2024-11-14,CON0228,OPP0375,30,Contract review scheduled for next month.,EMP0104
ACT0158,Follow-up,2024-08-30,CON0461,OPP0008,45,Follow-up on proposal sent last week.,EMP0060
ACT0159,Call,2022-01-26,CON0638,OPP0468,15,Pricing negotiation in progress.,EMP0050
ACT0160,Site Visit,2022-02-17,CON0191,OPP0280,30,Integration requirements clarified.,EMP0035
ACT0161,Webinar,2023-06-26,CON0171,OPP0497,15,Security questionnaire submitted and reviewed.,EMP0068
ACT0162,Email,2022-12-15,CON0239,OPP0458,15,POC results reviewed - client satisfied.,EMP0009
ACT0163,Webinar,2024-07-11,CON0473,OPP0069,15,Decision maker out of office; rescheduled.,EMP0072
ACT0164,Email,2022-02-10,CON0058,OPP0363,120,Legal review of MSA initiated.,EMP0070
ACT0165,Email,2023-03-17,CON0164,OPP0139,45,Executive sponsor confirmed budget.,EMP0062
ACT0166,Email,2022-05-02,CON0637,OPP0248,120,POC results reviewed - client satisfied.,EMP0080
ACT0167,Email,2022-10-23,CON0148,OPP0385,45,Stakeholder alignment meeting held.,EMP0120
ACT0168,Call,2024-08-30,CON0155,OPP0382,60,Decision maker out of office; rescheduled.,EMP0148
ACT0169,Site Visit,2023-02-24,CON0188,OPP0091,45,Follow-up on proposal sent last week.,EMP0127
ACT0170,Follow-up,2022-10-23,CON0190,OPP0149,15,Decision maker out of office; rescheduled.,EMP0055
ACT0171,Meeting,2024-05-08,CON0103,OPP0056,90,Competitive evaluation underway.,EMP0014
ACT0172,Call,2023-01-30,CON0313,OPP0196,90,Integration requirements clarified.,EMP0026
ACT0173,Site Visit,2023-03-17,CON0052,OPP0244,15,Demo completed - positive reception from technical team.,EMP0140
ACT0174,Site Visit,2024-07-07,CON0712,OPP0335,30,Discussed roadmap and budget approval.,EMP0039
ACT0175,Call,2022-03-07,CON0609,OPP0172,30,Integration requirements clarified.,EMP0107
ACT0176,Meeting,2022-05-24,CON0585,OPP0185,30,Integration requirements clarified.,EMP0140
ACT0177,Call,2022-01-21,CON0348,OPP0239,60,POC results reviewed - client satisfied.,EMP0081
ACT0178,Call,2022-05-03,CON0099,OPP0254,30,Demo completed - positive reception from technical team.,EMP0086
ACT0179,Call,2022-02-23,CON0473,OPP0111,90,Legal review of MSA initiated.,EMP0023
ACT0180,Demo,2022-03-12,CON0671,OPP0232,30,Demo completed - positive reception from technical team.,EMP0024
ACT0181,Email,2023-02-23,CON0554,OPP0417,60,POC results reviewed - client satisfied.,EMP0011
ACT0182,Proposal Review,2022-06-04,CON0671,OPP0200,60,Demo completed - positive reception from technical team.,EMP0048
ACT0183,Email,2022-02-21,CON0260,OPP0162,120,Executive sponsor confirmed budget.,EMP0072
ACT0184,Site Visit,2022-08-18,CON0508,OPP0057,90,Demo completed - positive reception from technical team.,EMP0141
ACT0185,Email,2024-08-28,CON0007,OPP0233,45,Decision maker out of office; rescheduled.,EMP0063
ACT0186,Site Visit,2022-04-21,CON0149,OPP0423,30,Executive sponsor confirmed budget.,EMP0078
ACT0187,Follow-up,2022-09-27,CON0189,OPP0185,30,Follow-up on proposal sent last week.,EMP0102
ACT0188,Call,2022-10-23,CON0351,OPP0093,30,Security questionnaire submitted and reviewed.,EMP0070
ACT0189,Email,2022-10-18,CON0751,OPP0468,120,New requirements gathered for phase 2.,EMP0005
ACT0190,Follow-up,2023-09-17,CON0760,OPP0422,60,Executive sponsor confirmed budget.,EMP0122
ACT0191,Meeting,2024-02-09,CON0632,OPP0012,30,Renewal discussion started for next fiscal year.,EMP0047
ACT0192,Site Visit,2023-12-25,CON0324,OPP0049,30,Security questionnaire submitted and reviewed.,EMP0034
ACT0193,Proposal Review,2024-04-17,CON0081,OPP0334,60,POC results reviewed - client satisfied.,EMP0077
ACT0194,Call,2022-10-02,CON0277,OPP0486,45,Competitive evaluation underway.,EMP0092
ACT0195,Webinar,2022-08-18,CON0392,OPP0019,30,Follow-up on proposal sent last week.,EMP0028
ACT0196,Email,2023-10-17,CON0550,OPP0298,15,Demo completed - positive reception from technical team.,EMP0111
ACT0197,Site Visit,2023-08-08,CON0751,OPP0311,90,Security questionnaire submitted and reviewed.,EMP0106
ACT0198,Follow-up,2024-09-07,CON0570,OPP0220,90,Renewal discussion started for next fiscal year.,EMP0108
ACT0199,Meeting,2023-03-15,CON0475,OPP0195,15,Security questionnaire submitted and reviewed.,EMP0003
ACT0200,Follow-up,2023-10-01,CON0468,OPP0133,15,Stakeholder alignment meeting held.,EMP0060
ACT0201,Proposal Review,2022-07-01,CON0579,OPP0057,90,Discussed roadmap and budget approval.,EMP0126
ACT0202,Follow-up,2022-09-25,CON0088,OPP0224,45,Discussed roadmap and budget approval.,EMP0013
ACT0203,Site Visit,2024-12-19,CON0787,OPP0458,30,Integration requirements clarified.,EMP0033
ACT0204,Demo,2023-10-30,CON0236,OPP0143,90,Decision maker out of office; rescheduled.,EMP0131
ACT0205,Site Visit,2023-07-08,CON0460,OPP0484,15,Stakeholder alignment meeting held.,EMP0041
ACT0206,Email,2023-04-04,CON0588,OPP0495,90,Integration requirements clarified.,EMP0082
ACT0207,Follow-up,2024-06-03,CON0192,OPP0076,120,Competitive evaluation underway.,EMP0003
ACT0208,Meeting,2022-05-16,CON0171,OPP0103,120,New requirements gathered for phase 2.,EMP0126
ACT0209,Meeting,2022-01-30,CON0368,OPP0463,45,Discussed roadmap and budget approval.,EMP0054
ACT0210,Demo,2022-01-05,CON0063,OPP0011,15,Stakeholder alignment meeting held.,EMP0133
ACT0211,Site Visit,2023-05-25,CON0299,OPP0381,120,Integration requirements clarified.,EMP0117
ACT0212,Demo,2022-08-16,CON0627,OPP0003,15,Stakeholder alignment meeting held.,EMP0134
ACT0213,Email,2022-09-06,CON0259,OPP0061,60,Executive sponsor confirmed budget.,EMP0001
ACT0214,Call,2022-07-09,CON0394,OPP0291,120,Renewal discussion started for next fiscal year.,EMP0039
ACT0215,Demo,2022-10-12,CON0702,OPP0254,30,Security questionnaire submitted and reviewed.,EMP0117
ACT0216,Proposal Review,2022-04-02,CON0398,OPP0005,90,Executive sponsor confirmed budget.,EMP0087
ACT0217,Follow-up,2022-06-18,CON0561,OPP0218,60,Decision maker out of office; rescheduled.,EMP0100
ACT0218,Demo,2022-03-25,CON0052,OPP0012,90,Competitive evaluation underway.,EMP0132
ACT0219,Follow-up,2023-03-25,CON0256,OPP0223,15,Security questionnaire submitted and reviewed.,EMP0025
ACT0220,Demo,2024-07-01,CON0085,OPP0476,15,Stakeholder alignment meeting held.,EMP0022
ACT0221,Webinar,2022-07-09,CON0679,OPP0310,90,Renewal discussion started for next fiscal year.,EMP0095
ACT0222,Follow-up,2023-11-07,CON0514,OPP0073,90,Executive sponsor confirmed budget.,EMP0080
ACT0223,Meeting,2022-02-07,CON0194,OPP0326,45,Executive sponsor confirmed budget.,EMP0004
ACT0224,Email,2024-01-14,CON0209,OPP0166,30,Decision maker out of office; rescheduled.,EMP0106
ACT0225,Site Visit,2022-03-03,CON0458,OPP0165,60,POC results reviewed - client satisfied.,EMP0065
ACT0226,Follow-up,2023-07-14,CON0415,OPP0222,60,Demo completed - positive reception from technical team.,EMP0014
ACT0227,Email,2022-04-30,CON0564,OPP0071,45,Security questionnaire submitted and reviewed.,EMP0005
ACT0228,Meeting,2022-07-07,CON0706,OPP0260,30,Security questionnaire submitted and reviewed.,EMP0036
ACT0229,Demo,2024-11-17,CON0458,OPP0306,45,Discussed roadmap and budget approval.,EMP0039
ACT0230,Site Visit,2022-10-16,CON0035,OPP0272,45,Stakeholder alignment meeting held.,EMP0018
ACT0231,Proposal Review,2023-06-21,CON0706,OPP0167,30,Legal review of MSA initiated.,EMP0059
ACT0232,Webinar,2023-01-30,CON0422,OPP0160,30,Security questionnaire submitted and reviewed.,EMP0057
ACT0233,Webinar,2024-07-19,CON0018,OPP0005,45,Follow-up on proposal sent last week.,EMP0041
ACT0234,Email,2022-10-13,CON0565,OPP0360,45,Follow-up on proposal sent last week.,EMP0141
ACT0235,Email,2024-05-07,CON0072,OPP0322,30,Executive sponsor confirmed budget.,EMP0084
ACT0236,Webinar,2022-02-06,CON0294,OPP0341,60,Follow-up on proposal sent last week.,EMP0009
ACT0237,Call,2024-08-09,CON0617,OPP0089,30,Discussed roadmap and budget approval.,EMP0068
ACT0238,Site Visit,2024-04-16,CON0025,OPP0028,15,Demo completed - positive reception from technical team.,EMP0144
ACT0239,Demo,2024-12-05,CON0147,OPP0235,15,Discussed roadmap and budget approval.,EMP0023
ACT0240,Meeting,2023-02-15,CON0131,OPP0291,120,Security questionnaire submitted and reviewed.,EMP0110
ACT0241,Email,2023-12-20,CON0092,OPP0065,15,Renewal discussion started for next fiscal year.,EMP0068
ACT0242,Webinar,2022-01-24,CON0510,OPP0377,60,Integration requirements clarified.,EMP0084
ACT0243,Demo,2023-06-14,CON0320,OPP0196,120,Discussed roadmap and budget approval.,EMP0079
ACT0244,Meeting,2022-10-23,CON0451,OPP0215,30,Competitive evaluation underway.,EMP0077
ACT0245,Site Visit,2022-02-21,CON0110,OPP0319,15,Pricing negotiation in progress.,EMP0061
ACT0246,Call,2024-01-20,CON0512,OPP0369,120,Executive sponsor confirmed budget.,EMP0053
ACT0247,Follow-up,2024-10-04,CON0153,OPP0133,30,Pricing negotiation in progress.,EMP0143
ACT0248,Site Visit,2022-06-20,CON0503,OPP0210,90,Demo completed - positive reception from technical team.,EMP0042
ACT0249,Webinar,2022-07-27,CON0768,OPP0348,30,Competitive evaluation underway.,EMP0118
ACT0250,Meeting,2024-03-18,CON0464,OPP0002,90,Integration requirements clarified.,EMP0108
ACT0251,Site Visit,2023-12-21,CON0716,OPP0401,60,Demo completed - positive reception from technical team.,EMP0034
ACT0252,Follow-up,2022-06-06,CON0637,OPP0451,60,Security questionnaire submitted and reviewed.,EMP0105
ACT0253,Proposal Review,2024-11-11,CON0277,OPP0405,90,Decision maker out of office; rescheduled.,EMP0122
ACT0254,Proposal Review,2022-06-14,CON0679,OPP0082,90,Discussed roadmap and budget approval.,EMP0054
ACT0255,Webinar,2022-01-31,CON0038,OPP0212,15,Executive sponsor confirmed budget.,EMP0131
ACT0256,Follow-up,2024-10-22,CON0580,OPP0248,45,Demo completed - positive reception from technical team.,EMP0033
ACT0257,Demo,2023-10-04,CON0279,OPP0416,30,Decision maker out of office; rescheduled.,EMP0014
ACT0258,Follow-up,2024-05-08,CON0757,OPP0386,60,Stakeholder alignment meeting held.,EMP0040
ACT0259,Email,2022-11-05,CON0089,OPP0173,120,Integration requirements clarified.,EMP0065
ACT0260,Webinar,2022-12-02,CON0366,OPP0132,90,Executive sponsor confirmed budget.,EMP0045
ACT0261,Call,2024-03-29,CON0676,OPP0354,45,Executive sponsor confirmed budget.,EMP0073
ACT0262,Email,2022-09-11,CON0104,OPP0344,120,POC results reviewed - client satisfied.,EMP0127
ACT0263,Demo,2022-06-14,CON0544,OPP0076,60,Contract review scheduled for next month.,EMP0001
ACT0264,Site Visit,2023-04-24,CON0315,OPP0116,45,Renewal discussion started for next fiscal year.,EMP0074
ACT0265,Meeting,2022-05-13,CON0541,OPP0265,45,POC results reviewed - client satisfied.,EMP0108
ACT0266,Call,2024-04-09,CON0415,OPP0133,15,Pricing negotiation in progress.,EMP0026
ACT0267,Email,2022-03-31,CON0187,OPP0047,30,Competitive evaluation underway.,EMP0095
