  erp_suppliers  ·  120 lignes  ·  9 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
SUP0094,Salesforce Inc.,USA,CRM et Cloud,contact@salesforcein.com,+14 336 920 6659,4.5,Net 60,2020-06-07
SUP0095,HashiCorp,USA,DevOps Tools,contact@hashicorp.com,+11 604 750 6075,4.9,Net 60,2019-06-05
SUP0096,Oracle Corp.,USA,Software et Cloud,contact@oraclecorp.com,+5 811 374 9522,4.9,Net 60,2020-12-11
SUP0097,Dell Technologies,USA,Materiel Informatique,contact@delltechnolo.com,+41 547 963 6976,3.7,Net 60,2019-03-10
SUP0098,GitLab Inc.,USA,Dev Tools,contact@gitlabinc.com,+27 342 846 8714,4.4,Net 90,2020-12-20
SUP0099,Oracle Corp.,USA,Software et Cloud,contact@oraclecorp.com,+38 206 190 3068,4,Net 60,2021-06-20
SUP0100,SAP SE,Allemagne,ERP et Software,contact@sapse.com,+25 184 210 9015,4.4,Net 45,2020-03-08
SUP0101,Splunk,USA,SIEM et Analytics,contact@splunk.com,+29 370 744 5470,3.1,Net 90,2020-12-04
SUP0102,Dell Technologies,USA,Materiel Informatique,contact@delltechnolo.com,+8 633 199 9721,4,Net 90,2017-06-24
SUP0103,Nutanix,USA,Infrastructure HCI,contact@nutanix.com,+10 159 311 9845,2.3,Net 45,2018-03-20
SUP0104,Datadog Inc.,USA,Monitoring,contact@datadoginc.com,+32 182 366 7258,4,Net 60,2017-02-27
SUP0105,HashiCorp,USA,DevOps Tools,contact@hashicorp.com,+4 199 213 4024,3.3,Net 45,2018-03-01
SUP0106,Nutanix,USA,Infrastructure HCI,contact@nutanix.com,+19 579 594 1757,4.2,Net 30,2019-05-14
SUP0107,AWS Amazon,USA,Cloud Infrastructure,contact@awsamazon.com,+25 247 858 7114,2,Immediate,2020-09-01
SUP0108,AWS Amazon,USA,Cloud Infrastructure,contact@awsamazon.com,+3 388 658 9577,4.5,Immediate,2020-02-23
SUP0109,Nutanix,USA,Infrastructure HCI,contact@nutanix.com,+15 145 331 3651,3.2,Net 90,2020-09-02
SUP0110,Atlassian,Australie,Dev Tools,contact@atlassian.com,+7 702 727 2365,3.2,Net 90,2021-01-10
SUP0111,HP Enterprise,USA,Materiel Informatique,contact@hpenterprise.com,+37 133 678 8971,3.9,Net 60,2018-09-04
SUP0112,Nutanix,USA,Infrastructure HCI,contact@nutanix.com,+5 855 984 7123,3.7,Net 30,2018-01-20
SUP0113,HP Enterprise,USA,Materiel Informatique,contact@hpenterprise.com,+30 383 279 2931,4.9,Net 60,2017-05-18
SUP0114,GitLab Inc.,USA,Dev Tools,contact@gitlabinc.com,+9 278 215 7937,3.7,Net 30,2020-02-02
SUP0115,Splunk,USA,SIEM et Analytics,contact@splunk.com,+39 337 303 7030,3.6,Net 45,2021-08-22
SUP0116,ServiceNow,USA,ITSM Platform,contact@servicenow.com,+16 922 434 2383,3.4,Net 90,2018-06-04
SUP0117,Cisco Systems,USA,Reseau et Securite,contact@ciscosystems.com,+48 183 411 1771,4.7,Net 30,2017-11-05
SUP0118,AWS Amazon,USA,Cloud Infrastructure,contact@awsamazon.com,+33 750 696 8900,3.7,Net 30,2018-03-28
SUP0119,GitLab Inc.,USA,Dev Tools,contact@gitlabinc.com,+6 977 597 1439,2.6,Net 90,2019-04-22
SUP0120,OVHcloud,France,Cloud Infrastructure,contact@ovhcloud.com,+45 491 104 6406,2.3,Immediate,2018-06-03
