  hr_projects  ·  60 lignes  ·  10 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
PRJ0013,Deploiement ERP STEG,ACC0026,DEP007,2021-03-27,2021-10-17,641666.11,Active,EMP0061,TND,Data Analytics; Python; SAP
PRJ0014,Developpement Plateforme Banque,ACC0191,DEP001,2022-08-06,2023-10-03,1329197,Active,EMP0135,TND,Machine Learning; AWS
PRJ0015,Implementation GED Carthage,ACC0004,DEP001,2024-07-12,2025-11-25,159334.18,Active,EMP0089,TND,SQL; Data Analytics
PRJ0016,Migration SAP S4HANA VERMEG,ACC0138,DEP008,2021-10-02,2022-01-26,360001.53,On Hold,EMP0026,TND,Project Management; DevOps
PRJ0017,Formation & Change Management SPS,ACC0167,DEP004,2022-09-14,2023-06-28,81138.63,Completed,EMP0010,TND,Machine Learning; Java
PRJ0018,Formation & Change Management Talan,ACC0196,DEP008,2024-07-17,2025-02-25,132825.1,Planning,EMP0066,TND,DevOps; SQL; SAP
PRJ0019,Implementation CRM Ministere,ACC0190,DEP005,2022-04-29,2023-02-04,690398.04,Active,EMP0033,TND,Project Management; SAP; Python
PRJ0020,Infrastructure Azure Talan,ACC0100,DEP001,2021-11-09,2023-01-21,76786.7,Completed,EMP0079,TND,Project Management; Python; SAP; SQL
PRJ0021,Implementation CRM STEG,ACC0028,DEP010,2024-03-28,2024-06-26,409844.72,Cancelled,EMP0026,TND,Machine Learning; DevOps
PRJ0022,Data Analytics & BI Carthage,ACC0095,DEP010,2023-01-26,2023-06-16,253686.84,On Hold,EMP0015,TND,SQL; Machine Learning; Python
PRJ0023,Urbanisation SI STEG,ACC0002,DEP009,2021-04-29,2022-01-03,605234.94,Cancelled,EMP0095,TND,Machine Learning; Python
PRJ0024,Implementation CRM STIIP,ACC0097,DEP010,2022-07-09,2023-09-15,898062.01,Completed,EMP0093,TND,React; DevOps; Data Analytics
PRJ0025,Infrastructure Azure Total,ACC0075,DEP001,2023-01-25,2023-11-30,96284.3,Planning,EMP0084,TND,Data Analytics; Project Management; DevOps
PRJ0026,Digital Twin Ministere,ACC0162,DEP002,2021-10-01,2022-03-31,855821.13,Completed,EMP0111,TND,SQL; React
PRJ0027,Transformation Digitale Amen,ACC0026,DEP003,2021-12-04,2023-01-01,1349117.84,Completed,EMP0035,TND,Python; Business Analysis
PRJ0028,Urbanisation SI IBM,ACC0045,DEP003,2022-01-15,2022-05-06,332671.41,Active,EMP0077,TND,Project Management; Python; AWS; Kubernetes
PRJ0029,Refonte SI Star,ACC0187,DEP009,2021-06-23,2022-08-31,407541.75,On Hold,EMP0029,TND,Business Analysis; DevOps
PRJ0030,Assistant IA Poulina,ACC0054,DEP001,2024-10-02,2026-01-01,585552.77,Completed,EMP0058,TND,Project Management; Java; Python; Data Analytics
PRJ0031,Data Analytics & BI SOMOCER,ACC0189,DEP002,2022-10-08,2023-09-15,1402936.15,Completed,EMP0066,TND,Java; SAP
PRJ0032,Implementation CRM Ooredoo,ACC0175,DEP006,2024-03-29,2025-03-08,1244466.7,Active,EMP0083,TND,SAP; Kubernetes; SQL; Machine Learning
PRJ0033,Gouvernance Data Leoni,ACC0163,DEP010,2023-12-29,2024-09-07,114064.1,Planning,EMP0081,TND,Business Analysis; SQL
PRJ0034,Gouvernance Data Sfax,ACC0014,DEP005,2022-07-08,2022-11-28,1239297.45,Completed,EMP0033,TND,Business Analysis; Python; Data Analytics; SAP
PRJ0035,Migration SAP S4HANA CIH,ACC0076,DEP009,2022-08-11,2023-03-09,1286679.83,Planning,EMP0110,TND,Kubernetes; Business Analysis; Data Analytics
PRJ0036,Infrastructure Azure Orange,ACC0189,DEP003,2022-06-23,2023-08-19,319890.95,Planning,EMP0146,TND,AWS; React; SQL; Data Analytics
PRJ0037,Optimisation Processus Poulina,ACC0085,DEP008,2024-10-19,2025-07-31,526400.23,Planning,EMP0026,TND,React; Machine Learning
PRJ0038,Developpement Plateforme Ministere,ACC0001,DEP007,2022-10-31,2023-07-30,879009.94,On Hold,EMP0134,TND,Kubernetes; Data Analytics
PRJ0039,Integration API Total,ACC0161,DEP006,2022-08-14,2023-05-01,906042.86,Active,EMP0100,TND,DevOps; AWS; SAP
PRJ0040,Migration SAP S4HANA SOMOCER,ACC0122,DEP007,2022-12-06,2023-07-06,342464.46,Planning,EMP0142,TND,DevOps; Business Analysis
PRJ0041,Infrastructure Azure Attijari,ACC0081,DEP001,2022-12-27,2024-06-09,818613.43,Cancelled,EMP0061,TND,SAP; Data Analytics; Project Management; SQL
PRJ0042,Data Analytics & BI Ministere,ACC0093,DEP006,2022-07-21,2023-03-25,1087577.4,Completed,EMP0014,TND,React; Java; AWS; SAP
PRJ0043,Urbanisation SI Banque,ACC0006,DEP004,2021-09-12,2022-05-01,220051.36,Completed,EMP0148,TND,AWS; React
PRJ0044,Refonte SI VERMEG,ACC0040,DEP002,2022-05-17,2023-02-25,705160.33,On Hold,EMP0089,TND,DevOps; Project Management
PRJ0045,Modernisation Legacy Yazaki,ACC0007,DEP007,2022-09-03,2023-12-22,1456108.32,On Hold,EMP0149,TND,React; Business Analysis; Project Management; Python
PRJ0046,Gouvernance Data STB,ACC0051,DEP005,2022-03-13,2022-06-21,273801.68,Completed,EMP0097,TND,Project Management; React; SAP; Java
PRJ0047,Architecture Cloud STEG,ACC0049,DEP010,2021-04-21,2022-01-27,418314.25,On Hold,EMP0087,TND,SAP; Data Analytics; Project Management
PRJ0048,Deploiement ERP Amen,ACC0057,DEP004,2024-07-29,2025-03-27,80824.05,Active,EMP0019,TND,React; Data Analytics
PRJ0049,Implementation GED SNCFT,ACC0032,DEP002,2024-11-30,2025-05-18,730320.04,Planning,EMP0056,TND,SQL; AWS; Data Analytics; React
PRJ0050,Optimisation Processus Ministere,ACC0141,DEP001,2024-01-17,2024-12-22,691779.84,Completed,EMP0128,TND,DevOps; React; Python; SAP
PRJ0051,Refonte SI Delice,ACC0104,DEP009,2024-02-19,2025-03-22,798453.41,Completed,EMP0003,TND,Machine Learning; React; Python; Business Analysis
PRJ0052,Implementation GED STB,ACC0170,DEP009,2024-11-21,2025-09-20,378819.08,Active,EMP0051,TND,Java; Kubernetes; React
PRJ0053,Urbanisation SI Amen,ACC0139,DEP004,2021-07-01,2022-05-08,65963.66,Cancelled,EMP0017,TND,Data Analytics; DevOps
PRJ0054,Digital Twin Amen,ACC0156,DEP001,2024-09-21,2025-03-22,793589.8,On Hold,EMP0014,TND,Data Analytics; Machine Learning; Project Management; Python
PRJ0055,Gouvernance Data GCT,ACC0072,DEP007,2023-01-08,2023-09-11,680754.74,Cancelled,EMP0134,TND,SAP; Java
PRJ0056,Implementation GED Carthage,ACC0064,DEP010,2022-06-28,2023-05-28,1311578.33,Active,EMP0125,TND,Python; AWS; Business Analysis; Project Management
PRJ0057,Implementation GED BNA,ACC0198,DEP004,2021-12-31,2022-10-05,887695.72,On Hold,EMP0134,TND,Machine Learning; Java
PRJ0058,Modernisation Legacy CNSS,ACC0010,DEP004,2022-07-31,2023-08-17,1357171.84,Active,EMP0010,TND,React; AWS
PRJ0059,Migration SAP S4HANA UIB,ACC0098,DEP009,2021-11-29,2022-03-04,841066.06,Completed,EMP0016,TND,AWS; SQL
PRJ0060,Migration SAP S4HANA SOMOCER,ACC0083,DEP006,2021-08-15,2022-07-22,524136.73,Planning,EMP0089,TND,SQL; Kubernetes; SAP; AWS
