  hr_performance_reviews  ·  348 lignes  ·  13 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
REV00053,EMP0025,2022-H2,2.1,2.4,2.1,1.3,2.6,82,No,EMP0106,2022-12-26,"Met targets, room for improvement in leadership."
REV00054,EMP0026,2023-H1,2.5,1.9,2.9,1.9,2.4,61,No,EMP0131,2023-06-07,"High potential, recommend for senior role."
REV00055,EMP0027,2022-H1,3.7,3.7,3.6,3.3,3.9,90,Under Review,EMP0094,2022-06-04,"Struggling with workload, needs support."
REV00056,EMP0027,2022-H2,2.8,2.8,3.3,1.6,3.1,80,No,EMP0008,2022-12-19,Consistently delivers quality work.
REV00057,EMP0028,2023-H1,3.5,2.9,3.6,3.5,3.9,63,Under Review,EMP0074,2023-06-28,"Met targets, room for improvement in leadership."
REV00058,EMP0028,2022-H2,2.5,2.4,2.2,2.4,2.5,99,No,EMP0059,2022-12-25,"Struggling with workload, needs support."
REV00059,EMP0028,2024-H2,5,5,5,5,5,69,Yes,EMP0046,2024-12-23,"Struggling with workload, needs support."
REV00060,EMP0029,2023-H2,4.8,4.8,5,4.4,4.1,75,Yes,EMP0119,2023-12-19,"Strong performance, exceeded expectations."
REV00061,EMP0029,2024-H2,5,5,4.5,4.7,4.9,80,Yes,EMP0097,2024-12-03,Exceptional delivery on key projects.
REV00062,EMP0029,2023-H1,4.5,4,3.9,4.4,5,91,Yes,EMP0072,2023-06-10,"Met targets, room for improvement in leadership."
REV00063,EMP0030,2024-H1,4.5,4.1,4.2,3.9,4.4,68,Yes,EMP0105,2024-06-09,"Good team player, needs to develop technical depth."
REV00064,EMP0030,2022-H2,2.5,2.4,2.6,2.3,2,62,No,EMP0105,2022-12-11,"Struggling with workload, needs support."
REV00065,EMP0031,2024-H2,3,2.7,2.2,3,3.4,61,No,EMP0093,2024-12-10,"Strong performance, exceeded expectations."
REV00066,EMP0031,2024-H1,2.3,2.5,2.5,2.6,1.7,61,No,EMP0122,2024-06-22,Exceptional delivery on key projects.
REV00067,EMP0032,2022-H2,2.8,3.3,2.1,3.3,2.4,79,No,EMP0080,2022-12-28,"Strong performance, exceeded expectations."
REV00068,EMP0033,2022-H1,4.2,3.4,4.2,3.9,4.4,53,Yes,EMP0051,2022-06-28,"High potential, recommend for senior role."
REV00069,EMP0033,2024-H1,4.8,5,4.4,5,5,70,Yes,EMP0089,2024-06-28,"Struggling with workload, needs support."
REV00070,EMP0033,2024-H2,3.1,3.2,2.6,2.9,2.9,90,No,EMP0048,2024-12-02,"Strong performance, exceeded expectations."
REV00071,EMP0033,2022-H2,3,3.1,2.8,2.9,3.2,58,No,EMP0045,2022-12-20,"Good team player, needs to develop technical depth."
REV00072,EMP0034,2023-H2,2.3,2.6,2.4,2.2,2.3,70,No,EMP0002,2023-12-25,"High potential, recommend for senior role."
REV00073,EMP0034,2024-H2,3.4,3.4,3.2,3.1,3.3,58,No,EMP0002,2024-12-04,"Good team player, needs to develop technical depth."
REV00074,EMP0034,2024-H1,2.9,2.7,2.8,3.1,2.6,68,No,EMP0130,2024-06-15,"Struggling with workload, needs support."
REV00075,EMP0034,2022-H2,2.7,2.6,3.7,1.6,2.2,72,No,EMP0113,2022-12-25,"Met targets, room for improvement in leadership."
REV00076,EMP0035,2023-H2,4.8,5,5,4.8,4.9,82,Yes,EMP0060,2023-12-06,"Strong performance, exceeded expectations."
REV00077,EMP0035,2022-H1,2.8,3.2,2.4,3.3,2.9,88,No,EMP0010,2022-06-02,"Struggling with workload, needs support."
REV00078,EMP0036,2024-H2,2.5,2.7,2.6,2.3,2.6,66,No,EMP0006,2024-12-16,"Struggling with workload, needs support."
REV00079,EMP0037,2022-H2,3.2,3.8,3.1,3.9,3.7,56,No,EMP0135,2022-12-17,"Struggling with workload, needs support."
REV00080,EMP0037,2022-H1,4.5,4.4,5,3.8,4.5,99,Yes,EMP0031,2022-06-09,"High potential, recommend for senior role."
REV00081,EMP0038,2023-H1,3.4,3.5,3.9,3,3.1,50,No,EMP0129,2023-06-22,"Strong performance, exceeded expectations."
REV00082,EMP0038,2023-H2,3.6,3.9,3.1,3.7,3.7,82,Under Review,EMP0029,2023-12-03,"Struggling with workload, needs support."
REV00083,EMP0039,2023-H1,3,2.7,3,3.2,3.3,68,No,EMP0077,2023-06-12,"High potential, recommend for senior role."
REV00084,EMP0040,2023-H2,2.2,2.4,2.2,1.9,1.9,78,No,EMP0012,2023-12-20,Exceptional delivery on key projects.
REV00085,EMP0040,2022-H1,3.7,3.6,3.9,4.2,4,74,Under Review,EMP0089,2022-06-23,"High potential, recommend for senior role."
REV00086,EMP0040,2024-H1,3.4,3.6,2.8,3.5,3.2,94,No,EMP0124,2024-06-24,"Strong performance, exceeded expectations."
REV00087,EMP0041,2022-H1,4.2,4,4.1,3.9,3.9,51,Yes,EMP0147,2022-06-28,"Struggling with workload, needs support."
REV00088,EMP0041,2023-H2,4,3.5,4,4.4,3.7,54,Under Review,EMP0034,2023-12-09,"Struggling with workload, needs support."
REV00089,EMP0042,2022-H1,4.5,4.4,3.9,4.4,4.2,96,Yes,EMP0088,2022-06-08,"Good team player, needs to develop technical depth."
REV00090,EMP0042,2024-H1,3,2.7,2.5,3.6,3.6,89,No,EMP0090,2024-06-02,"Strong performance, exceeded expectations."
REV00091,EMP0042,2022-H2,3.2,3,3.7,2.4,3.6,65,No,EMP0122,2022-12-11,Exceptional delivery on key projects.
REV00092,EMP0043,2024-H1,3.9,3.5,3.8,4,3.8,78,Under Review,EMP0059,2024-06-26,Consistently delivers quality work.
REV00093,EMP0044,2022-H1,4.1,4.4,4.4,4.4,4.1,55,Under Review,EMP0005,2022-06-26,Consistently delivers quality work.
REV00094,EMP0044,2023-H2,3.5,3.9,3.2,3.2,3.1,71,Under Review,EMP0079,2023-12-12,"High potential, recommend for senior role."
REV00095,EMP0044,2024-H1,4,4.1,3.7,4.7,3.5,73,Under Review,EMP0118,2024-06-23,"Good team player, needs to develop technical depth."
REV00096,EMP0044,2022-H2,2.8,3.3,3.1,3.3,2.8,90,No,EMP0030,2022-12-26,Exceptional delivery on key projects.
REV00097,EMP0045,2024-H2,4.1,3.8,4.5,4.5,4.5,75,Under Review,EMP0106,2024-12-07,"Good team player, needs to develop technical depth."
REV00098,EMP0045,2022-H1,5,5,4.8,4,5,93,Yes,EMP0050,2022-06-19,"Strong performance, exceeded expectations."
REV00099,EMP0045,2024-H1,3.6,3.2,3.9,4,3.5,77,Under Review,EMP0131,2024-06-27,Consistently delivers quality work.
REV00100,EMP0046,2024-H1,3.5,4,3.9,3.2,3.3,74,Under Review,EMP0033,2024-06-14,Consistently delivers quality work.
REV00101,EMP0046,2022-H2,4.5,4.2,4.2,4.8,4.3,58,Yes,EMP0072,2022-12-14,Consistently delivers quality work.
REV00102,EMP0046,2024-H2,4.7,4.5,5,5,4.2,85,Yes,EMP0133,2024-12-21,"Met targets, room for improvement in leadership."
REV00103,EMP0046,2023-H1,3.8,4.3,3.5,2.8,4.2,61,Under Review,EMP0076,2023-06-17,Consistently delivers quality work.
REV00104,EMP0047,2024-H2,4.3,3.8,4.4,4,3.9,97,Yes,EMP0145,2024-12-27,Consistently delivers quality work.
REV00105,EMP0047,2022-H1,3.2,4,3.1,3.2,3.6,62,No,EMP0004,2022-06-09,"High potential, recommend for senior role."
REV00106,EMP0047,2023-H1,4.3,4.9,4.2,4.4,4.4,100,Yes,EMP0042,2023-06-10,"Met targets, room for improvement in leadership."
REV00107,EMP0048,2023-H1,3.6,3.4,4,3,3.3,100,Under Review,EMP0145,2023-06-26,"High potential, recommend for senior role."
REV00108,EMP0049,2024-H2,3.3,2.7,3.7,2.8,2.3,53,No,EMP0101,2024-12-01,"Struggling with workload, needs support."
REV00109,EMP0049,2022-H1,3.5,4.1,3.9,2.5,3.3,98,Under Review,EMP0115,2022-06-19,Consistently delivers quality work.
REV00110,EMP0049,2023-H2,2.5,2.7,1.5,2.4,2.7,93,No,EMP0052,2023-12-03,"Met targets, room for improvement in leadership."
REV00111,EMP0050,2024-H2,3.6,3.7,3.4,3.5,3.3,71,Under Review,EMP0073,2024-12-15,"Struggling with workload, needs support."
REV00112,EMP0050,2024-H1,3.2,4.1,3.4,2.5,2.8,90,No,EMP0040,2024-06-20,"High potential, recommend for senior role."
REV00113,EMP0051,2023-H2,4.5,4.8,4.5,4.8,4.9,76,Yes,EMP0136,2023-12-18,Consistently delivers quality work.
REV00114,EMP0051,2024-H1,3.8,4,4,3.9,4.1,73,Under Review,EMP0105,2024-06-10,"Met targets, room for improvement in leadership."
REV00115,EMP0051,2023-H1,4.4,4.2,5,4.4,4.5,92,Yes,EMP0123,2023-06-12,"Good team player, needs to develop technical depth."
REV00116,EMP0052,2024-H2,3.5,4.1,3.3,3,4.3,57,Under Review,EMP0064,2024-12-13,Exceptional delivery on key projects.
REV00117,EMP0052,2024-H1,2.9,2.8,3.1,2.5,3,52,No,EMP0134,2024-06-10,"Struggling with workload, needs support."
REV00118,EMP0053,2023-H1,2.8,3,2.7,3.4,2.7,50,No,EMP0022,2023-06-21,"Strong performance, exceeded expectations."
REV00119,EMP0053,2024-H1,3.7,4.2,4,3.3,4.1,94,Under Review,EMP0056,2024-06-24,"High potential, recommend for senior role."
REV00120,EMP0054,2024-H2,4,4,3.9,4.3,4.1,66,Under Review,EMP0119,2024-12-18,"Strong performance, exceeded expectations."
REV00121,EMP0054,2022-H1,3.1,3,2.7,3.4,2.8,74,No,EMP0068,2022-06-22,"Strong performance, exceeded expectations."
REV00122,EMP0054,2022-H2,3.8,4.4,3.8,4.6,4.1,52,Under Review,EMP0138,2022-12-23,"High potential, recommend for senior role."
REV00123,EMP0054,2024-H1,4.9,5,4.7,5,4.6,78,Yes,EMP0028,2024-06-13,"Good team player, needs to develop technical depth."
REV00124,EMP0055,2023-H2,3.1,2.9,3.1,2.4,3.6,84,No,EMP0041,2023-12-10,"Struggling with workload, needs support."
REV00125,EMP0056,2023-H1,3.6,3.6,3.7,3.7,3.2,85,Under Review,EMP0144,2023-06-03,Exceptional delivery on key projects.
REV00126,EMP0056,2024-H2,3.2,3.2,2.3,2.9,3.5,91,No,EMP0054,2024-12-28,Consistently delivers quality work.
REV00127,EMP0057,2022-H2,3.7,4.4,4.1,4.2,3.6,98,Under Review,EMP0050,2022-12-18,"Good team player, needs to develop technical depth."
REV00128,EMP0057,2024-H2,3.4,3.9,3.7,3.4,3.7,87,No,EMP0142,2024-12-16,Exceptional delivery on key projects.
REV00129,EMP0058,2022-H2,3.4,3.5,3.2,3.9,3.1,87,No,EMP0050,2022-12-05,Consistently delivers quality work.
REV00130,EMP0058,2024-H2,3.1,2.9,3.4,3.1,3.1,65,No,EMP0147,2024-12-26,"Met targets, room for improvement in leadership."
REV00131,EMP0058,2022-H1,3.3,2.7,3.4,3.1,3.2,79,No,EMP0072,2022-06-15,Exceptional delivery on key projects.
REV00132,EMP0059,2023-H2,2.1,2,2,1.9,2.8,84,No,EMP0045,2023-12-07,Exceptional delivery on key projects.
REV00133,EMP0059,2024-H1,3.4,2.8,4,2.8,2.9,87,No,EMP0020,2024-06-13,"High potential, recommend for senior role."
REV00134,EMP0059,2022-H1,2.6,3,2.3,1,2.2,80,No,EMP0055,2022-06-21,"High potential, recommend for senior role."
REV00135,EMP0060,2023-H1,3.7,4.4,4,4.1,4,50,Under Review,EMP0076,2023-06-22,"Met targets, room for improvement in leadership."
REV00136,EMP0060,2023-H2,3.9,3.9,3.7,4.2,4.3,86,Under Review,EMP0043,2023-12-22,"High potential, recommend for senior role."
REV00137,EMP0061,2024-H2,3.7,3.7,3.7,4.1,3.8,83,Under Review,EMP0126,2024-12-26,Exceptional delivery on key projects.
REV00138,EMP0061,2023-H2,4.5,4.1,4.6,5,4.8,70,Yes,EMP0101,2023-12-04,"Struggling with workload, needs support."
REV00139,EMP0062,2024-H2,3,3.3,2.6,2.9,3.4,72,No,EMP0020,2024-12-27,"High potential, recommend for senior role."
REV00140,EMP0062,2023-H1,3,2.5,3,2.5,2.7,58,No,EMP0090,2023-06-15,"Met targets, room for improvement in leadership."
REV00141,EMP0062,2022-H2,3.6,4.1,3.7,3.9,3.2,57,Under Review,EMP0073,2022-12-22,"Met targets, room for improvement in leadership."
REV00142,EMP0063,2023-H1,4.3,3.8,4.4,4,4,65,Yes,EMP0124,2023-06-02,"Met targets, room for improvement in leadership."
REV00143,EMP0063,2022-H1,3.1,3,3.6,3.3,3.4,61,No,EMP0133,2022-06-17,"Good team player, needs to develop technical depth."
REV00144,EMP0063,2023-H2,3.7,3.2,3.1,3.6,3,55,Under Review,EMP0146,2023-12-07,"Good team player, needs to develop technical depth."
REV00145,EMP0063,2024-H2,2.9,2.6,3.3,3.7,2.3,99,No,EMP0125,2024-12-06,Consistently delivers quality work.
REV00146,EMP0064,2022-H2,2.8,2.8,3.2,3.1,3,82,No,EMP0018,2022-12-22,"Good team player, needs to develop technical depth."
REV00147,EMP0064,2023-H1,3.9,3.4,3.4,4,4.6,82,Under Review,EMP0046,2023-06-25,"Strong performance, exceeded expectations."
REV00148,EMP0064,2023-H2,3.8,3.6,3.8,3.1,3.3,99,Under Review,EMP0024,2023-12-22,"Struggling with workload, needs support."
REV00149,EMP0065,2024-H1,3.3,2.9,3.4,2.8,2.7,98,No,EMP0125,2024-06-27,"Struggling with workload, needs support."
REV00150,EMP0065,2023-H2,2.9,3.1,3,2.5,2.9,55,No,EMP0149,2023-12-10,Consistently delivers quality work.
REV00151,EMP0065,2023-H1,4,3.7,4.7,4,4.5,83,Under Review,EMP0049,2023-06-01,"Good team player, needs to develop technical depth."
REV00152,EMP0065,2022-H1,3.5,3.4,3.2,3.3,3.7,91,Under Review,EMP0053,2022-06-19,Exceptional delivery on key projects.
REV00153,EMP0066,2024-H1,1.8,1,1.8,1.3,1.9,73,No,EMP0103,2024-06-18,Consistently delivers quality work.
REV00154,EMP0066,2023-H2,2.7,2.7,3,2.3,3.2,97,No,EMP0125,2023-12-05,"High potential, recommend for senior role."
REV00155,EMP0066,2023-H1,3.7,3.5,3.1,4,3.8,75,Under Review,EMP0059,2023-06-26,Exceptional delivery on key projects.
REV00156,EMP0067,2022-H2,3.9,3.9,3.9,4.1,4,88,Under Review,EMP0101,2022-12-14,"Strong performance, exceeded expectations."
REV00157,EMP0068,2023-H1,3.6,3.8,3.5,2.5,3.1,68,Under Review,EMP0010,2023-06-23,Consistently delivers quality work.
REV00158,EMP0069,2022-H2,4.1,3.9,4.2,3.6,3.5,68,Under Review,EMP0128,2022-12-07,"Strong performance, exceeded expectations."
REV00159,EMP0070,2024-H1,3.2,2.9,3.4,3.2,3.1,92,No,EMP0001,2024-06-13,"Good team player, needs to develop technical depth."
REV00160,EMP0070,2022-H2,4.2,3.6,4.1,4.4,4.3,68,Yes,EMP0052,2022-12-24,"High potential, recommend for senior role."
REV00161,EMP0071,2023-H1,3.1,2.9,2.8,2.9,2.9,54,No,EMP0105,2023-06-17,Exceptional delivery on key projects.
REV00162,EMP0071,2024-H2,3.7,4.4,3.5,4.7,3.5,100,Under Review,EMP0089,2024-12-19,Exceptional delivery on key projects.
REV00163,EMP0071,2022-H2,2.9,1.9,2.6,2.9,2.5,93,No,EMP0146,2022-12-15,Consistently delivers quality work.
REV00164,EMP0072,2023-H2,4.5,4.5,4.9,4.6,4.2,94,Yes,EMP0030,2023-12-08,"High potential, recommend for senior role."
REV00165,EMP0073,2023-H2,3.3,3,3.8,3.7,3.4,61,No,EMP0075,2023-12-16,Exceptional delivery on key projects.
REV00166,EMP0073,2023-H1,3.2,3.3,3.7,3.5,3.8,62,No,EMP0092,2023-06-16,"Struggling with workload, needs support."
REV00167,EMP0073,2022-H1,3.9,4.5,4,4.2,3.9,59,Under Review,EMP0068,2022-06-25,"Strong performance, exceeded expectations."
REV00168,EMP0074,2022-H1,4.5,4,4.1,4.4,4.5,80,Yes,EMP0128,2022-06-12,Consistently delivers quality work.
REV00169,EMP0075,2023-H2,1.5,1.6,1.4,1.8,1.4,77,No,EMP0132,2023-12-16,Consistently delivers quality work.
REV00170,EMP0075,2024-H1,3.4,3,3.4,3.3,3.2,57,No,EMP0009,2024-06-23,Consistently delivers quality work.
REV00171,EMP0075,2023-H1,2.5,2.7,2.3,2.1,2.8,66,No,EMP0004,2023-06-06,Consistently delivers quality work.
REV00172,EMP0076,2022-H2,3.9,3.6,4.3,4.1,4.5,73,Under Review,EMP0089,2022-12-12,"High potential, recommend for senior role."
REV00173,EMP0076,2023-H1,2.9,3.2,3.3,3.4,2.9,67,No,EMP0148,2023-06-26,"Met targets, room for improvement in leadership."
REV00174,EMP0076,2023-H2,3.8,3.4,4,4.6,4.6,59,Under Review,EMP0144,2023-12-16,"High potential, recommend for senior role."
REV00175,EMP0077,2022-H2,3.2,3.3,2.9,3.1,2.9,86,No,EMP0134,2022-12-02,"Good team player, needs to develop technical depth."
REV00176,EMP0078,2024-H2,3.5,4.2,3.8,2.8,3.6,78,Under Review,EMP0042,2024-12-24,Exceptional delivery on key projects.
REV00177,EMP0079,2023-H1,3.1,3.4,3.8,2.1,3.3,91,No,EMP0091,2023-06-18,"Met targets, room for improvement in leadership."
REV00178,EMP0079,2024-H2,4.4,4,4.9,3.6,4.5,55,Yes,EMP0073,2024-12-13,Consistently delivers quality work.
REV00179,EMP0079,2024-H1,3.3,3.9,3.7,2.8,3.7,89,No,EMP0038,2024-06-19,"Good team player, needs to develop technical depth."
REV00180,EMP0080,2022-H1,3.2,3,3.5,2.7,2.7,88,No,EMP0042,2022-06-21,"Good team player, needs to develop technical depth."
REV00181,EMP0081,2023-H2,3.1,3.2,3.3,3.4,3.1,97,No,EMP0006,2023-12-03,"Met targets, room for improvement in leadership."
REV00182,EMP0081,2023-H1,4.7,4.6,4.8,5,4.5,53,Yes,EMP0043,2023-06-01,"High potential, recommend for senior role."
REV00183,EMP0081,2024-H2,2.5,2.9,2.9,2.9,3.3,74,No,EMP0022,2024-12-10,"Met targets, room for improvement in leadership."
REV00184,EMP0082,2024-H2,4.3,4.2,4.1,4.4,4.2,92,Yes,EMP0115,2024-12-12,"High potential, recommend for senior role."
REV00185,EMP0082,2023-H1,4.7,4.3,5,4.6,4.6,94,Yes,EMP0121,2023-06-18,"Met targets, room for improvement in leadership."
REV00186,EMP0083,2024-H2,4.3,4.2,4.6,3.4,4.1,78,Yes,EMP0138,2024-12-10,Exceptional delivery on key projects.
REV00187,EMP0083,2024-H1,3.2,3.3,3.9,3.2,3.4,80,No,EMP0003,2024-06-18,"Strong performance, exceeded expectations."
REV00188,EMP0083,2023-H2,3,3.4,2.9,3.5,3,68,No,EMP0127,2023-12-20,"Met targets, room for improvement in leadership."
REV00189,EMP0083,2023-H1,3.8,3.3,3.4,4.1,3.6,97,Under Review,EMP0049,2023-06-21,"Good team player, needs to develop technical depth."
REV00190,EMP0084,2022-H2,3.8,3.1,3.7,3.2,3.4,67,Under Review,EMP0062,2022-12-10,"Struggling with workload, needs support."
REV00191,EMP0084,2023-H1,3.4,2.7,3.5,3.6,3.5,79,No,EMP0107,2023-06-20,"Good team player, needs to develop technical depth."
REV00192,EMP0084,2022-H1,3.8,3.7,3.4,3.7,4,84,Under Review,EMP0070,2022-06-01,"Met targets, room for improvement in leadership."
REV00193,EMP0084,2024-H2,4.1,4,4,3.3,4.1,81,Under Review,EMP0033,2024-12-07,Exceptional delivery on key projects.
REV00194,EMP0085,2023-H1,3.9,3.5,4.6,4.1,3.9,99,Under Review,EMP0009,2023-06-13,"Strong performance, exceeded expectations."
REV00195,EMP0085,2023-H2,3.1,3,3.4,2.2,3.6,65,No,EMP0065,2023-12-13,"High potential, recommend for senior role."
REV00196,EMP0085,2024-H2,4.3,4.3,5,4.6,4.9,56,Yes,EMP0115,2024-12-17,"Struggling with workload, needs support."
REV00197,EMP0085,2022-H2,4.3,4.2,4.5,4.2,4.2,85,Yes,EMP0080,2022-12-17,"Strong performance, exceeded expectations."
REV00198,EMP0086,2023-H2,2.4,3,1.9,2.4,2.6,90,No,EMP0094,2023-12-14,Exceptional delivery on key projects.
